Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20181315,NSW & ACT,3-1-2018 23:00,Wednesday,Single,No,No,No,60,Driver,Female,28,Inner Regional Australia,Wagga Wagga,National or State Highway,No,No,26_to_39,Weekday,Night
20181230,NSW & ACT,2-1-2018 0:00,Friday,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,Cootamundra-Gundagai,Arterial Road,No,No,17_to_25,Weekday,Night
20184055,SA,2-1-2018 0:00,Wednesday,Single,No,No,No,110,Driver,Male,27,Outer Regional Australia,Coorong,Arterial Road,No,No,26_to_39,Weekday,Night
20185121,WA,2-1-2018 0:00,Friday,Single,No,No,No,110,Driver,Male,55,Outer Regional Australia,Moora,Arterial Road,No,No,40_to_64,Weekday,Night
20181057,NSW & ACT,2-1-2018 1:00,Saturday,Single,No,No,No,100,Driver,Male,34,Outer Regional Australia,Upper Hunter,Local Road,No,No,26_to_39,Weekend,Night
20181155,NSW & ACT,2-1-2018 1:00,Saturday,Multiple,No,No,Yes,110,Driver,Male,27,Outer Regional Australia,Moree Plains,National or State Highway,No,No,26_to_39,Weekend,Night
20183146,Qld,2-1-2018 2:00,Friday,Single,No,No,No,100,Driver,Male,35,Outer Regional Australia,North Burnett,National or State Highway,No,No,26_to_39,Weekday,Night
20181149,NSW & ACT,2-1-2018 2:00,Saturday,Single,No,No,No,50,Driver,Male,24,Outer Regional Australia,Inverell,Arterial Road,No,No,17_to_25,Weekend,Night
20183105,Qld,2-1-2018 3:00,Saturday,Single,No,No,No,60,Pedestrian,Male,32,Outer Regional Australia,Townsville,Local Road,No,No,26_to_39,Weekend,Night
20185002,WA,2-1-2018 3:00,Sunday,Single,No,No,No,70,Pedestrian,Male,32,Major Cities of Australia,Joondalup,Arterial Road,No,No,26_to_39,Weekend,Night
20181153,NSW & ACT,2-1-2018 3:00,Friday,Single,No,No,Yes,110,Driver,Male,57,Inner Regional Australia,Port Macquarie-Hastings,National or State Highway,No,No,40_to_64,Weekday,Night
