Crash ID,State,Month,Year,Day,Time,Crash Type,Number Fatalities,"Bus 
Involvement",Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Time
20222061,Vic,11,2022,Wednesday,13:00,Multiple,1,No,No,No,100,Major Cities of Australia,Yarra Ranges,Arterial Road,No,No,Weekday,Day,13:00
20223127,Qld,11,2022,Tuesday,19:00,Multiple,1,No,No,No,100,Inner Regional Australia,Toowoomba,National or State Highway,No,No,Weekday,Night,19:00
20223136,Qld,11,2022,Saturday,1:00,Multiple,2,No,No,No,60,Major Cities of Australia,Gold Coast,Collector Road,No,No,Weekend,Night,1:00
20223030,Qld,11,2022,Thursday,17:00,Multiple,1,No,No,No,60,Outer Regional Australia,Banana,Local Road,No,No,Weekday,Day,17:00
20223035,Qld,11,2022,Thursday,15:00,Multiple,2,No,No,No,80,Inner Regional Australia,Fraser Coast,Sub-Arterial Road,No,No,Weekday,Day,15:00
20223055,Qld,11,2022,Wednesday,18:00,Single,1,No,No,No,60,Major Cities of Australia,Logan,Local Road,No,No,Weekday,Night,18:00
20223067,Qld,11,2022,Thursday,16:00,Single,1,No,No,No,70,Major Cities of Australia,Sunshine Coast,Sub-Arterial Road,No,No,Weekday,Day,16:00
20223096,Qld,11,2022,Sunday,14:00,Multiple,1,No,No,No,100,Inner Regional Australia,Southern Downs,National or State Highway,No,No,Weekend,Day,14:00
20225018,WA,11,2022,Sunday,11:00,Multiple,1,No,No,No,80,Unknown,Unknown,Unknown,No,No,Weekend,Day,11:00
20225037,WA,11,2022,Saturday,19:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekend,Night,19:00
20225071,WA,11,2022,Thursday,13:00,Single,1,No,No,No,80,Unknown,Unknown,Unknown,No,No,Weekday,Day,13:00
20221120,NSW & ACT,11,2022,Tuesday,8:00,Single,1,No,No,No,50,Major Cities of Australia,Woollahra,Local Road,No,No,Weekday,Day,8:00
20221266,NSW & ACT,11,2022,Friday,17:00,Single,1,No,No,No,110,Inner Regional Australia,Coffs Harbour,National or State Highway,No,No,Weekday,Day,17:00
20221033,NSW & ACT,11,2022,Tuesday,3:00,Single,1,No,No,No,60,Major Cities of Australia,Tweed,Local Road,No,No,Weekday,Night,3:00
20222206,Vic,11,2022,Sunday,14:00,Single,1,No,No,No,100,Inner Regional Australia,Mount Alexander,Arterial Road,No,No,Weekend,Day,14:00
20222009,Vic,11,2022,Thursday,22:00,Multiple,1,No,No,No,60,Major Cities of Australia,Yarra Ranges,Arterial Road,No,No,Weekday,Night,22:00
20223196,Qld,11,2022,Sunday,7:00,Single,1,No,No,No,60,Major Cities of Australia,Brisbane,Sub-Arterial Road,No,No,Weekend,Day,7:00
20223072,Qld,11,2022,Wednesday,15:00,Multiple,1,No,No,No,60,Major Cities of Australia,Gold Coast,Sub-Arterial Road,No,No,Weekday,Day,15:00
20224041,SA,11,2022,Tuesday,21:00,Multiple,1,No,No,Yes,60,Major Cities of Australia,Port Adelaide Enfield,National or State Highway,No,No,Weekday,Night,21:00
20224060,SA,11,2022,Friday,21:00,Single,1,No,No,No,60,Major Cities of Australia,Campbelltown (SA),Sub-Arterial Road,No,No,Weekend,Night,21:00
20226026,Tas,11,2022,Friday,8:00,Single,1,No,No,No,100,Outer Regional Australia,Southern Midlands,National or State Highway,No,No,Weekday,Day,8:00
20221006,NSW & ACT,11,2022,Sunday,10:00,Multiple,1,No,No,No,60,Inner Regional Australia,Sutherland,Arterial Road,No,No,Weekend,Day,10:00
20221008,NSW & ACT,11,2022,Saturday,13:00,Multiple,1,No,No,No,100,Inner Regional Australia,Armidale,National or State Highway,No,No,Weekend,Day,13:00
20222094,Vic,11,2022,Thursday,12:00,Single,1,No,No,No,100,Outer Regional Australia,Gannawarra,National or State Highway,No,No,Weekday,Day,12:00
20223223,Qld,11,2022,Wednesday,4:00,Multiple,1,No,Yes,No,70,Major Cities of Australia,Sunshine Coast,Sub-Arterial Road,No,No,Weekday,Night,4:00
20223253,Qld,11,2022,Saturday,14:00,Single,1,No,No,No,100,Outer Regional Australia,Banana,Sub-Arterial Road,No,No,Weekend,Day,14:00
20223050,Qld,11,2022,Monday,14:00,Single,1,No,No,No,50,Major Cities of Australia,Brisbane,Local Road,No,No,Weekday,Day,14:00
20223089,Qld,11,2022,Saturday,11:00,Single,1,No,No,No,60,Major Cities of Australia,Brisbane,Sub-Arterial Road,No,No,Weekend,Day,11:00
20223003,Qld,11,2022,Thursday,23:00,Single,1,No,No,No,80,Major Cities of Australia,Brisbane,Local Road,No,No,Weekday,Night,23:00
20224047,SA,11,2022,Tuesday,10:00,Multiple,1,No,No,No,60,Major Cities of Australia,Prospect,Arterial Road,No,No,Weekday,Day,10:00
20225019,WA,11,2022,Friday,13:00,Multiple,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekday,Day,13:00
20226035,Tas,11,2022,Monday,12:00,Single,1,No,No,No,50,Outer Regional Australia,Huon Valley,National or State Highway,No,No,Weekday,Day,12:00
20221112,NSW & ACT,11,2022,Sunday,16:00,Single,1,No,No,No,50,Major Cities of Australia,North Sydney,Local Road,No,No,Weekend,Day,16:00
