National LGA Name 2021,Year,Fatalities,Population,Fatality Rate
Coffs Harbour,2016,5,79725,6.271558482
Coffs Harbour,2017,3,79725,3.762935089
Coffs Harbour,2018,2,79725,2.508623393
Coffs Harbour,2019,7,79725,8.780181875
Coffs Harbour,2020,3,79725,3.762935089
Coffs Harbour,2022,5,79725,6.271558482
Colac Otway,2015,3,22188,13.52082207
Colac Otway,2016,3,22188,13.52082207
Colac Otway,2017,5,22188,22.53470344
Colac Otway,2018,3,22188,13.52082207
Colac Otway,2019,3,22188,13.52082207
Colac Otway,2020,1,22188,4.506940689
Colac Otway,2021,3,22188,13.52082207
Colac Otway,2022,5,22188,22.53470344
Collie,2015,1,9150,10.92896175
Collie,2016,4,9150,43.71584699
Collie,2017,2,9150,21.8579235
Collie,2019,2,9150,21.8579235
Collie,2020,1,9150,10.92896175
Coober Pedy,2020,1,1574,63.53240152
Cook,2018,6,4673,128.3971753
Cook,2020,2,4673,42.79905842
Cook,2021,2,4673,42.79905842
Cook,2022,4,4673,85.59811684
Coolamon,2016,1,4465,22.39641657
Coolamon,2018,3,4465,67.18924972
Coolamon,2021,2,4465,44.79283315
Coolamon,2022,1,4465,22.39641657
Coolgardie,2015,1,3635,27.51031637
Coolgardie,2016,2,3635,55.02063274
Coolgardie,2017,1,3635,27.51031637
Coolgardie,2019,2,3635,55.02063274
Coolgardie,2021,2,3635,55.02063274
Coomalie,2016,1,1396,71.63323782
Coomalie,2019,2,1396,143.2664756
Coomalie,2022,2,1396,143.2664756
Coonamble,2018,1,3825,26.14379085
Coonamble,2022,1,3825,26.14379085
Coorong,2015,4,5576,71.73601148
Coorong,2017,3,5576,53.80200861
Coorong,2018,2,5576,35.86800574
Coorong,2019,5,5576,89.67001435
Coorong,2020,2,5576,35.86800574
Coorong,2021,1,5576,17.93400287
Cootamundra-Gundagai,2015,5,11404,43.84426517
Cootamundra-Gundagai,2016,2,11404,17.53770607
Cootamundra-Gundagai,2017,4,11404,35.07541214
Cootamundra-Gundagai,2018,1,11404,8.768853034
Cootamundra-Gundagai,2019,3,11404,26.3065591
Cootamundra-Gundagai,2020,2,11404,17.53770607
Copper Coast,2015,1,15648,6.390593047
Copper Coast,2016,1,15648,6.390593047
Copper Coast,2019,1,15648,6.390593047
Copper Coast,2020,1,15648,6.390593047
Copper Coast,2022,1,15648,6.390593047
Corangamite,2015,4,15993,25.01094229
Corangamite,2016,3,15993,18.75820672
Corangamite,2017,3,15993,18.75820672
Corangamite,2018,2,15993,12.50547114
Corangamite,2019,4,15993,25.01094229
Corangamite,2020,3,15993,18.75820672
Corangamite,2021,3,15993,18.75820672
Corangamite,2022,7,15993,43.769149
Corrigin,2016,1,1022,97.84735812
Corrigin,2018,2,1022,195.6947162
Corrigin,2019,1,1022,97.84735812
Corrigin,2020,1,1022,97.84735812
Cowra,2015,1,12705,7.870916962
Cowra,2016,4,12705,31.48366785
Cowra,2017,1,12705,7.870916962
Cowra,2019,1,12705,7.870916962
Cowra,2021,5,12705,39.35458481
Cranbrook,2019,1,1141,87.64241893
Croydon,2021,1,268,373.1343284
Cuballing,2016,1,929,107.6426265
Cuballing,2020,1,929,107.6426265
Cuballing,2021,1,929,107.6426265
